complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
16,0.36,0.3546747967479675,0.6453252032520325,1.0,1.0,True,False,False,False,False,True,False,False,0.766114055312202,False,False,Hungarian_variant_1,Hungarian,false
18,0.28,0.2399605814239961,0.7600394185760039,0.5,0.5,False,False,False,False,True,True,False,False,0.6558859004229679,False,False,Russian_variant_66,Russian,false
14,0.43999999999999995,0.3380450849963046,0.6619549150036954,0.6666666666666666,0.6666666666666666,False,True,False,True,True,False,False,True,0.7699593351754725,False,False,Hausa_variant_6,Hausa,dp_medium
22,0.12,0.4186221975856122,0.5813778024143877,1.0,1.0,True,True,False,True,True,False,False,False,0.808529933263717,False,False,Thai_variant_62,Thai,nontrivial
14,0.43999999999999995,0.2540650406504066,0.7459349593495934,0.6666666666666666,0.6666666666666666,False,False,False,False,True,True,False,False,0.700640593131937,False,False,Hausa_variant_31,Hausa,false
17,0.31999999999999995,0.2300443458980044,0.7699556541019956,0.3333333333333333,0.3333333333333333,False,False,False,False,True,True,False,False,0.6494949576456921,False,False,Hausa_variant_96,Hausa,false
25,0.0,0.3193520571569352,0.6806479428430647,0.25,0.25,False,True,False,True,True,True,False,True,0.709747063362403,False,False,Basque_variant_36,Basque,dp_medium
13,0.48,0.3956023651145603,0.6043976348854396,1.0,1.0,True,True,False,True,False,False,True,True,0.8298677998954054,False,False,Hebrew_variant_74,Hebrew,dp_medium
13,0.48,0.4174057649667406,0.5825942350332594,1.0,1.0,True,True,False,True,False,True,False,False,0.8478647852494126,False,False,Hebrew_variant_73,Hebrew,nontrivial
21,0.16000000000000003,0.3381066765213106,0.6618933234786893,0.5,0.5,False,True,False,True,False,True,False,False,0.7375927956940866,False,False,Russian_variant_92,Russian,nontrivial
22,0.12,0.3723515644247351,0.6276484355752648,1.0,1.0,True,False,False,False,False,True,False,False,0.7662266347487596,False,False,Thai_variant_1,Thai,false
16,0.36,0.3818828529194383,0.6181171470805618,1.0,1.0,True,True,False,True,True,True,False,False,0.7909891218176041,False,False,Hebrew_variant_61,Hebrew,nontrivial
16,0.36,0.3487158167036216,0.6512841832963784,1.0,1.0,True,True,False,True,True,False,False,False,0.7606660648414124,False,False,Hebrew_variant_84,Hebrew,nontrivial
18,0.28,0.2852611480660261,0.7147388519339739,0.75,0.75,False,True,False,True,True,False,False,False,0.6973027419465343,False,False,Russian_variant_78,Russian,nontrivial
25,0.0,0.4247351564424735,0.5752648435575265,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.8060940686406277,False,False,Thai_variant_19,Thai,nontrivial
22,0.12,0.4031935205715694,0.5968064794284306,1.0,1.0,True,True,False,True,False,True,False,False,0.7944238224052982,False,False,Thai_variant_90,Thai,nontrivial
16,0.36,0.3663617886178861,0.6336382113821138,1.0,1.0,True,True,False,True,True,True,False,False,0.7767991003055886,False,False,Hebrew_variant_91,Hebrew,nontrivial
14,0.43999999999999995,0.2637657058388766,0.7362342941611234,0.6666666666666666,0.6666666666666666,False,False,False,False,True,True,False,False,0.7086477269716642,False,False,Hausa_variant_18,Hausa,false
13,0.48,0.3603566149297857,0.6396433850702143,1.0,1.0,True,False,False,False,False,True,False,False,0.8007753000417948,False,False,Hebrew_variant_44,Hebrew,false
19,0.24,0.3222160630697216,0.6777839369302783,1.0,1.0,True,False,False,False,True,True,False,False,0.7284142757770244,False,False,Thai_variant_42,Thai,false
