complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
36,0.4626865671641791,0.3296296296296296,0.6703703703703703,0.2857142857142857,0.2857142857142857,False,True,True,False,True,True,True,True,0.6428622828989718,False,False,
16,0.7611940298507462,0.3194444444444445,0.6805555555555555,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.8517790098169093,False,False,
7,0.8955223880597015,0.2222222222222222,0.7777777777777777,1.0,0.5,False,True,True,False,True,True,True,True,0.9107065652349444,False,False,
33,0.5074626865671642,0.3647222222222222,0.6352777777777778,0.6666666666666666,0.5555555555555556,False,True,True,False,True,True,True,True,0.6860381042970263,False,False,
8,0.8805970149253731,0.5416666666666667,0.4583333333333332,1.0,1.0,True,True,True,False,True,True,True,True,0.984275739009386,False,False,
13,0.8059701492537313,0.5833333333333334,0.4166666666666666,1.0,1.0,False,True,True,False,True,True,True,True,0.9582471633267788,False,False,
8,0.8805970149253731,0.4513888888888889,0.548611111111111,1.0,0.8,False,True,True,False,True,True,True,True,0.94430750091881,False,False,
22,0.6716417910447761,0.6203703703703705,0.3796296296296295,0.8571428571428571,0.8571428571428571,False,True,True,False,True,True,True,True,0.8689424852149272,False,False,
10,0.8507462686567164,0.4861111111111111,0.5138888888888888,0.75,0.75,False,True,True,False,True,True,True,True,0.93710332479069,False,False,
34,0.4925373134328358,0.3432407407407407,0.6567592592592593,0.1428571428571428,0.1428571428571428,False,True,True,False,True,True,True,True,0.6666484835639026,False,False,
14,0.791044776119403,0.3888888888888889,0.611111111111111,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.8772133793567355,False,False,
39,0.417910447761194,0.2628703703703704,0.7371296296296296,0.0,0.0,False,True,True,False,True,True,True,True,0.6060805541862122,False,False,
37,0.4477611940298507,0.2833333333333334,0.7166666666666666,0.0,0.0,False,True,True,False,True,True,True,True,0.6284827923293093,False,False,
28,0.582089552238806,0.6712962962962964,0.3287037037037036,0.7142857142857143,0.7142857142857143,False,True,True,False,True,True,True,True,0.8179015298833265,False,False,
21,0.6865671641791045,0.5740740740740742,0.4259259259259258,0.8333333333333334,0.8333333333333334,False,True,True,False,True,True,True,True,0.8735816914271443,False,False,
28,0.582089552238806,0.300925925925926,0.699074074074074,0.2,0.2,False,True,True,False,True,True,True,True,0.7243148203969778,False,False,
4,0.9402985074626866,0.2708333333333333,0.7291666666666666,0.5,0.5,False,True,True,False,True,True,True,True,0.9627047100492756,False,False,
26,0.6119402985074627,0.3935185185185186,0.6064814814814814,0.5,0.5,False,True,True,False,True,True,True,True,0.7588961402393548,False,False,
6,0.9104477611940298,0.375,0.625,1.0,0.6666666666666666,False,True,True,False,True,True,True,True,0.9605328689806653,False,False,
25,0.6268656716417911,0.2958333333333333,0.7041666666666666,0.2,0.2,False,True,True,False,True,True,True,True,0.7555669351760939,False,False,
20,0.7014925373134329,0.3148148148148149,0.6851851851851851,0.8333333333333334,0.5,False,True,True,False,True,True,True,True,0.8093884031109875,False,False,
11,0.835820895522388,0.2685185185185185,0.7314814814814815,0.75,0.75,False,True,True,False,True,True,True,True,0.8982800296983677,False,False,
16,0.7611940298507462,0.3981481481481481,0.6018518518518519,0.6,0.6,False,True,True,False,True,True,True,True,0.8567489532272299,False,False,
27,0.5970149253731343,0.7407407407407409,0.2592592592592591,0.8571428571428571,0.8571428571428571,False,True,True,False,True,True,True,True,0.850938406615904,False,False,
51,0.23880597014925375,0.3265740740740741,0.6734259259259259,0.3,0.3,False,True,True,False,True,True,True,True,0.5060760970131621,False,False,
1,0.9850746268656716,0.1666666666666666,0.8333333333333333,1.0,1.0,True,True,True,False,True,True,True,True,0.8818211590027891,False,True,
10,0.8507462686567164,0.324074074074074,0.6759259259259259,0.75,0.75,False,True,True,False,True,True,True,True,0.9152187659600116,False,False,
9,0.8656716417910448,0.4166666666666667,0.5833333333333333,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.9315903163604716,False,False,
12,0.8208955223880597,0.2604166666666667,0.7395833333333333,0.8,0.4,False,True,True,False,True,True,True,True,0.8860714084598493,False,False,
11,0.835820895522388,0.3333333333333333,0.6666666666666666,0.5,0.5,False,True,True,False,True,True,True,True,0.9052788955264172,False,False,
15,0.7761194029850746,0.1944444444444444,0.8055555555555556,0.0,0.0,False,True,True,False,True,True,True,True,0.832076101515344,False,False,
3,0.9552238805970149,0.3333333333333333,0.6666666666666666,1.0,1.0,True,True,True,False,True,True,True,True,0.9894753295583104,False,False,
12,0.8208955223880597,0.3592592592592593,0.6407407407407407,0.6,0.6,False,True,True,False,True,True,True,True,0.8963914878260048,False,False,
14,0.791044776119403,0.5000000000000001,0.4999999999999999,0.8,0.8,False,True,True,False,True,True,True,True,0.9135170904705158,False,False,
8,0.8805970149253731,0.25,0.75,0.5,0.5,False,True,True,False,True,True,True,True,0.9196390349372028,False,False,
32,0.5223880597014925,0.3402777777777778,0.6597222222222222,0.5,0.375,False,True,True,False,True,True,True,True,0.6847015226281596,False,False,
5,0.9253731343283582,0.375,0.625,1.0,1.0,True,True,True,False,True,True,True,True,0.9710574343679682,False,False,
15,0.7761194029850746,0.3333333333333333,0.6666666666666666,0.0,0.0,False,True,True,False,True,True,True,True,0.8631806269853157,False,False,
28,0.582089552238806,0.5416666666666667,0.4583333333333332,0.625,0.625,False,True,True,False,True,True,True,True,0.7963829212630089,False,False,
26,0.6119402985074627,0.8101851851851851,0.1898148148148148,1.0,1.0,True,True,True,False,True,True,True,True,0.8831400163586817,False,False,
22,0.6716417910447761,0.2425925925925926,0.7574074074074074,0.2,0.0,False,True,True,False,True,True,True,True,0.7805613445912676,False,False,
40,0.4029850746268657,0.2961904761904762,0.7038095238095238,0.2222222222222222,0.1111111111111111,False,True,True,False,True,True,True,True,0.5977209872414668,False,False,
