,name,naturalness,simplicity,informativity,optimality,Language,comm_cost,complexity,counts
1896,sampled_lang_14,0.75,0.8648648648648649,0.631,0.948,artificial,0.369,10,13
9883,sampled_lang_14,0.75,0.8648648648648649,0.627,0.946,artificial,0.373,10,13
8287,sampled_lang_14,1.0,0.8648648648648649,0.625,0.945,artificial,0.375,10,13
4640,sampled_lang_14,0.667,0.8648648648648649,0.622,0.943,artificial,0.378,10,13
2735,sampled_lang_14,1.0,0.8648648648648649,0.618,0.942,artificial,0.382,10,13
4057,sampled_lang_14,0.667,0.8648648648648649,0.615,0.94,artificial,0.385,10,13
354,sampled_lang_14,1.0,0.8648648648648649,0.611,0.94,artificial,0.389,10,13
10770,sampled_lang_14,0.667,0.8648648648648649,0.608,0.94,artificial,0.392,10,13
2774,sampled_lang_14,1.0,0.8648648648648649,0.604,0.94,artificial,0.396,10,13
529,sampled_lang_14,0.667,0.8648648648648649,0.6,0.939,artificial,0.4,10,13
3312,sampled_lang_5,1.0,0.8648648648648649,0.597,0.939,artificial,0.403,10,13
6239,sampled_lang_14,0.75,0.8648648648648649,0.594,0.939,artificial,0.406,10,13
682,sampled_lang_14,0.75,0.8648648648648649,0.591,0.939,artificial,0.409,10,13
482,sampled_lang_14,1.0,0.8648648648648649,0.583,0.939,artificial,0.417,10,13
4175,sampled_lang_14,0.667,0.8648648648648649,0.579,0.938,artificial,0.421,10,13
14542,sampled_lang_14,0.333,0.8648648648648649,0.576,0.938,artificial,0.424,10,13
323,sampled_lang_14,0.667,0.8648648648648649,0.572,0.938,artificial,0.428,10,12
1116,sampled_lang_14,0.667,0.8648648648648649,0.571,0.938,artificial,0.429,10,12
8851,sampled_lang_14,0.333,0.8648648648648649,0.569,0.938,artificial,0.431,10,12
11506,sampled_lang_14,0.5,0.8648648648648649,0.568,0.938,artificial,0.432,10,12
8063,sampled_lang_14,0.667,0.8648648648648649,0.564,0.938,artificial,0.436,10,12
5791,sampled_lang_14,0.667,0.8648648648648649,0.563,0.938,artificial,0.437,10,12
2872,sampled_lang_14,0.333,0.8648648648648649,0.562,0.938,artificial,0.438,10,12
10412,sampled_lang_14,0.5,0.8648648648648649,0.561,0.937,artificial,0.439,10,12
7893,sampled_lang_14,0.5,0.8648648648648649,0.56,0.937,artificial,0.44,10,12
11808,sampled_lang_14,0.333,0.8648648648648649,0.559,0.937,artificial,0.441,10,12
684,sampled_lang_5,0.667,0.8648648648648649,0.556,0.937,artificial,0.444,10,12
13308,sampled_lang_14,0.333,0.8648648648648649,0.552,0.937,artificial,0.448,10,12
2258,sampled_lang_14,0.333,0.8648648648648649,0.551,0.937,artificial,0.449,10,12
1687,sampled_lang_5,0.333,0.8648648648648649,0.55,0.937,artificial,0.45,10,12
9364,sampled_lang_14,0.667,0.8648648648648649,0.548,0.937,artificial,0.452,10,12
11269,sampled_lang_14,0.667,0.8648648648648649,0.546,0.937,artificial,0.454,10,12
13715,sampled_lang_14,0.667,0.8648648648648649,0.544,0.937,artificial,0.456,10,12
11,sampled_lang_14,0.667,0.8648648648648649,0.542,0.936,artificial,0.458,10,12
9282,sampled_lang_14,0.667,0.8648648648648649,0.541,0.936,artificial,0.459,10,12
3998,sampled_lang_14,0.333,0.8648648648648649,0.537,0.936,artificial,0.463,10,12
3862,sampled_lang_143,0.5,0.8648648648648649,0.535,0.936,artificial,0.465,10,12
1812,sampled_lang_14,0.5,0.8648648648648649,0.532,0.936,artificial,0.468,10,12
268,sampled_lang_14,0.667,0.8648648648648649,0.531,0.936,artificial,0.469,10,12
8238,sampled_lang_14,0.667,0.8648648648648649,0.53,0.936,artificial,0.47,10,12
1553,sampled_lang_14,1.0,0.8648648648648649,0.528,0.936,artificial,0.472,10,12
5191,sampled_lang_14,0.333,0.8648648648648649,0.525,0.936,artificial,0.475,10,12
5520,sampled_lang_14,0.333,0.8648648648648649,0.523,0.936,artificial,0.477,10,12
112,sampled_lang_14,1.0,0.8648648648648649,0.521,0.935,artificial,0.479,10,12
826,sampled_lang_14,0.333,0.8648648648648649,0.517,0.935,artificial,0.483,10,12
13765,sampled_lang_14,0.75,0.8648648648648649,0.516,0.935,artificial,0.484,10,12
148,sampled_lang_14,1.0,0.8648648648648649,0.514,0.935,artificial,0.486,10,12
9893,sampled_lang_109,0.333,0.8648648648648649,0.513,0.935,artificial,0.487,10,12
7423,sampled_lang_14,0.667,0.8648648648648649,0.51,0.935,artificial,0.49,10,12
917,sampled_lang_14,0.333,0.8648648648648649,0.508,0.935,artificial,0.492,10,12
11658,sampled_lang_135,0.667,0.8648648648648649,0.507,0.935,artificial,0.493,10,12
3477,sampled_lang_14,0.333,0.8648648648648649,0.504,0.935,artificial,0.496,10,12
8370,sampled_lang_14,0.333,0.8648648648648649,0.501,0.934,artificial,0.499,10,12
1000,sampled_lang_14,0.667,0.8648648648648649,0.5,0.934,artificial,0.5,10,12
2757,sampled_lang_14,0.333,0.8648648648648649,0.497,0.934,artificial,0.503,10,11
879,sampled_lang_21,0.0,0.8648648648648649,0.494,0.934,artificial,0.506,10,11
9,sampled_lang_14,0.333,0.8648648648648649,0.493,0.934,artificial,0.507,10,11
5889,sampled_lang_14,0.333,0.8648648648648649,0.492,0.934,artificial,0.508,10,11
8228,sampled_lang_14,0.333,0.8648648648648649,0.491,0.934,artificial,0.509,10,11
4112,sampled_lang_14,0.333,0.8648648648648649,0.49,0.934,artificial,0.51,10,11
2787,sampled_lang_14,0.0,0.8648648648648649,0.484,0.934,artificial,0.516,10,11
10120,sampled_lang_14,0.333,0.8648648648648649,0.481,0.933,artificial,0.519,10,11
5672,sampled_lang_14,0.333,0.8648648648648649,0.48,0.933,artificial,0.52,10,11
787,sampled_lang_14,0.5,0.8648648648648649,0.479,0.933,artificial,0.521,10,11
3464,sampled_lang_14,0.0,0.8648648648648649,0.478,0.933,artificial,0.522,10,11
11140,sampled_lang_14,0.667,0.8648648648648649,0.475,0.933,artificial,0.525,10,11
1013,sampled_lang_14,0.5,0.8648648648648649,0.472,0.933,artificial,0.528,10,11
169,sampled_lang_14,0.667,0.8648648648648649,0.467,0.933,artificial,0.533,10,11
63,sampled_lang_54,0.0,0.8648648648648649,0.461,0.932,artificial,0.539,10,11
8904,sampled_lang_14,0.667,0.8648648648648649,0.458,0.931,artificial,0.542,10,11
11347,sampled_lang_14,0.0,0.8648648648648649,0.456,0.931,artificial,0.544,10,11
1640,sampled_lang_14,0.0,0.8648648648648649,0.455,0.931,artificial,0.545,10,11
6747,sampled_lang_14,0.333,0.8648648648648649,0.454,0.931,artificial,0.546,10,11
4731,sampled_lang_14,0.667,0.8648648648648649,0.451,0.93,artificial,0.549,10,11
1745,sampled_lang_14,0.0,0.8648648648648649,0.45,0.93,artificial,0.55,10,11
2560,sampled_lang_5,0.5,0.8648648648648649,0.448,0.93,artificial,0.552,10,11
196,sampled_lang_14,0.5,0.8648648648648649,0.444,0.929,artificial,0.556,10,11
3532,sampled_lang_14,0.667,0.8648648648648649,0.443,0.928,artificial,0.557,10,11
3382,sampled_lang_14,0.5,0.8648648648648649,0.441,0.928,artificial,0.559,10,11
6561,sampled_lang_14,0.667,0.8648648648648649,0.44,0.928,artificial,0.56,10,11
170,sampled_lang_14,1.0,0.8648648648648649,0.437,0.927,artificial,0.562,10,11
11098,sampled_lang_14,0.667,0.8648648648648649,0.435,0.926,artificial,0.565,10,11
1195,sampled_lang_14,0.0,0.8648648648648649,0.431,0.925,artificial,0.569,10,11
524,sampled_lang_14,0.667,0.8648648648648649,0.428,0.924,artificial,0.572,10,11
11352,sampled_lang_14,0.0,0.8648648648648649,0.426,0.924,artificial,0.574,10,11
1084,sampled_lang_14,0.5,0.8648648648648649,0.424,0.923,artificial,0.576,10,11
1645,sampled_lang_14,0.0,0.8648648648648649,0.42,0.922,artificial,0.58,10,11
860,sampled_lang_14,0.667,0.8648648648648649,0.417,0.921,artificial,0.583,10,11
372,sampled_lang_14,0.333,0.8648648648648649,0.414,0.92,artificial,0.586,10,11
1717,sampled_lang_14,0.333,0.8648648648648649,0.411,0.92,artificial,0.589,10,11
1992,sampled_lang_14,0.333,0.8648648648648649,0.41,0.919,artificial,0.59,10,11
951,sampled_lang_14,0.5,0.8648648648648649,0.403,0.917,artificial,0.597,10,11
2296,sampled_lang_14,0.667,0.8648648648648649,0.399,0.916,artificial,0.601,10,11
110,sampled_lang_14,0.0,0.8648648648648649,0.397,0.916,artificial,0.603,10,11
18,sampled_lang_14,1.0,0.8648648648648649,0.396,0.915,artificial,0.604,10,11
5296,sampled_lang_14,0.0,0.8648648648648649,0.394,0.915,artificial,0.606,10,11
8004,sampled_lang_14,0.667,0.8648648648648649,0.392,0.914,artificial,0.608,10,11
113,sampled_lang_5,0.0,0.8648648648648649,0.389,0.913,artificial,0.611,10,11
127,sampled_lang_14,0.667,0.8648648648648649,0.388,0.913,artificial,0.612,10,10
810,sampled_lang_14,0.0,0.8648648648648649,0.385,0.912,artificial,0.615,10,10
6250,sampled_lang_14,0.667,0.8648648648648649,0.384,0.912,artificial,0.616,10,10
5152,sampled_lang_14,0.5,0.8648648648648649,0.382,0.911,artificial,0.618,10,10
5738,sampled_lang_14,1.0,0.8648648648648649,0.375,0.909,artificial,0.625,10,10
4434,sampled_lang_110,0.5,0.8648648648648649,0.368,0.907,artificial,0.632,10,10
1843,sampled_lang_14,1.0,0.8648648648648649,0.363,0.906,artificial,0.637,10,10
594,sampled_lang_14,0.5,0.8648648648648649,0.361,0.905,artificial,0.639,10,10
9770,sampled_lang_14,1.0,0.8648648648648649,0.356,0.904,artificial,0.644,10,10
3021,sampled_lang_14,0.0,0.8648648648648649,0.347,0.902,artificial,0.653,10,10
2372,sampled_lang_14,0.0,0.8648648648648649,0.333,0.898,artificial,0.667,10,10
347,sampled_lang_123,0.5,0.8648648648648649,0.319,0.894,artificial,0.681,10,10
65,sampled_lang_14,0.667,0.8648648648648649,0.315,0.892,artificial,0.685,10,10
314,sampled_lang_14,0.5,0.8648648648648649,0.312,0.892,artificial,0.688,10,10
1556,sampled_lang_14,0.5,0.8648648648648649,0.306,0.89,artificial,0.694,10,10
6795,sampled_lang_5,1.0,0.8648648648648649,0.292,0.886,artificial,0.708,10,10
1588,sampled_lang_14,1.0,0.8648648648648649,0.278,0.882,artificial,0.722,10,10
5820,sampled_lang_14,0.75,0.8513513513513513,0.576,0.929,artificial,0.424,11,10
3420,sampled_lang_14,0.75,0.8513513513513513,0.569,0.928,artificial,0.431,11,10
605,sampled_lang_5,0.75,0.8513513513513513,0.558,0.928,artificial,0.442,11,10
4723,sampled_lang_14,0.75,0.8513513513513513,0.551,0.927,artificial,0.449,11,10
